"동별(1)",동별(2),2025 3/4,2025 3/4,2025 3/4,2025 3/4,2025 3/4,2025 3/4,2025 3/4,2025 3/4,2025 3/4,2025 3/4,2025 3/4
"동별(1)",동별(2),전체세대,1인세대,2인세대,3인세대,4인세대,5인세대,6인세대,7인세대,8인세대,9인세대,10인세대 이상
"합계",소계,4505357,2031598,1028698,751100,545338,115278,24675,6018,1721,552,379
"종로구",소계,72402,38455,14922,10020,6736,1689,414,103,39,12,12
"종로구",사직동,4583,2368,935,670,463,112,18,10,3,0,4
"종로구",삼청동,1078,537,247,137,106,36,13,2,0,0,0
"종로구",부암동,4122,1669,1048,738,474,133,42,13,3,1,1
"종로구",평창동,7096,2239,1880,1441,1082,343,73,25,11,1,1
"종로구",무악동,2960,701,776,699,607,142,25,7,1,1,1
"종로구",교남동,4324,1660,1073,861,598,108,14,5,3,2,0
"종로구",가회동,1833,892,399,291,183,45,17,4,1,0,1
"종로구",종로1.2.3.4가동,4908,3931,495,277,150,39,10,5,1,0,0
"종로구",종로5.6가동,3539,2547,520,271,161,32,5,3,0,0,0
"종로구",이화동,4452,2950,781,409,238,53,14,4,2,1,0
"종로구",창신1동,2662,1616,558,295,133,46,10,3,1,0,0
"종로구",창신2동,3894,2031,952,512,297,75,24,1,2,0,0
"종로구",창신3동,2744,958,766,557,356,82,19,5,1,0,0
"종로구",숭인1동,3015,1527,721,416,269,59,22,0,1,0,0
"종로구",숭인2동,7047,5118,1076,502,276,62,12,1,0,0,0
"종로구",청운효자동,4914,1884,1204,949,650,164,47,8,4,4,0
"종로구",혜화동,9231,5827,1491,995,693,158,49,7,5,2,4
"중구",소계,64259,34729,14358,8455,5106,1178,316,76,24,7,10
"중구",소공동,1236,741,233,151,93,10,4,3,0,0,1
"중구",회현동,2436,1481,442,292,160,39,14,5,3,0,0
"중구",명동,1335,929,212,109,65,11,5,1,1,1,1
"중구",필동,2820,1952,487,214,128,29,6,2,1,0,1
"중구",장충동,2946,2040,464,225,155,44,16,0,0,0,2
"중구",광희동,3958,2923,590,257,132,38,13,2,3,0,0
"중구",을지로동,2058,1448,380,146,65,16,3,0,0,0,0
"중구",신당5동,5411,2847,1270,726,447,99,14,7,0,1,0
"중구",황학동,7878,4756,1726,823,450,98,21,3,0,0,1
"중구",중림동,5916,2717,1352,1066,594,147,33,3,3,0,1
"중구",신당동,4731,3158,888,392,210,51,25,6,0,1,0
"중구",다산동,6743,3335,1602,991,632,138,31,11,1,0,2
"중구",약수동,7699,3233,2183,1299,761,151,50,17,2,2,1
"중구",청구동,5115,2031,1441,887,583,136,28,7,1,1,0
"중구",동화동,3977,1138,1088,877,631,171,53,9,9,1,0
"용산구",소계,103187,51289,22910,15445,10214,2461,606,160,62,20,20
"용산구",후암동,8281,4348,1819,1165,713,171,38,19,3,2,3
"용산구",용산2가동,5001,2911,1155,538,308,68,16,5,0,0,0
"용산구",남영동,4946,3752,689,288,152,53,9,2,0,0,1
"용산구",원효로2동,6273,2648,1470,1149,770,167,43,14,6,3,3
"용산구",효창동,4703,1801,1206,893,606,140,42,9,2,3,1
"용산구",용문동,5302,2216,1378,953,572,143,29,3,6,0,2
"용산구",이촌1동,9096,1734,2274,2504,1989,437,118,24,9,5,2
"용산구",이촌2동,3560,1310,1048,675,397,97,25,5,2,1,0
"용산구",이태원1동,3392,1905,802,391,214,61,15,4,0,0,0
"용산구",이태원2동,4726,2635,1087,564,320,87,22,8,2,0,1
"용산구",서빙고동,5022,1691,1213,926,850,267,54,13,8,0,0
"용산구",보광동,3909,2206,883,495,250,53,18,3,1,0,0
"용산구",청파동,11319,7369,2056,1034,627,173,41,13,3,0,3
"용산구",원효로1동,9385,5244,1893,1224,810,164,32,8,6,1,3
"용산구",한강로동,11259,6052,2327,1616,990,190,58,15,10,1,0
"용산구",한남동,7013,3467,1610,1030,646,190,46,15,4,4,1
"성동구",소계,132994,58806,31764,23154,15281,3025,732,160,49,16,7
"성동구",왕십리2동,7324,2973,1822,1364,910,182,58,10,3,1,1
"성동구",마장동,10975,5488,2466,1550,1124,252,71,14,4,2,4
"성동구",사근동,8398,6404,971,516,397,84,19,5,2,0,0
"성동구",행당1동,7078,3022,1631,1305,902,172,29,12,3,2,0
"성동구",행당2동,9135,2411,2612,2179,1546,302,62,18,3,2,0
"성동구",응봉동,5845,1607,1508,1405,1070,212,35,4,3,1,0
"성동구",금호1가동,6372,2213,1729,1365,849,167,36,10,2,1,0
"성동구",금호4가동,6335,2290,1708,1362,791,133,41,8,2,0,0
"성동구",성수1가1동,7316,3199,1831,1282,805,143,46,4,6,0,0
"성동구",성수1가2동,6544,2933,1644,1098,698,128,32,7,3,1,0
"성동구",성수2가1동,7306,3741,1735,1012,653,121,35,7,2,0,0
"성동구",성수2가3동,4991,2622,1049,669,497,112,34,7,1,0,0
"성동구",송정동,5186,2920,1118,634,405,88,16,3,2,0,0
"성동구",용답동,8127,5400,1522,670,418,89,20,5,1,2,0
"성동구",왕십리도선동,12025,5095,2735,2243,1539,308,77,20,6,1,1
"성동구",금호2.3가동,9372,3378,2565,1948,1187,230,49,12,3,0,0
"성동구",옥수동,10665,3110,3118,2552,1490,302,72,14,3,3,1
"광진구",소계,171265,86924,36546,25337,17778,3583,796,215,57,15,14
"광진구",화양동,18104,15042,1924,659,379,71,23,5,0,0,1
"광진구",군자동,11213,7073,2085,1177,687,134,37,15,4,1,0
"광진구",중곡1동,8607,4941,1961,992,544,133,26,10,0,0,0
"광진구",중곡2동,10492,5323,2488,1525,900,200,41,10,2,2,1
"광진구",중곡3동,8426,4496,2060,1065,628,151,18,7,1,0,0
"광진구",중곡4동,12953,5467,3458,2235,1387,299,80,21,3,2,1
"광진구",능동,6431,3944,1332,627,396,88,39,5,0,0,0
"광진구",구의1동,13254,7900,2641,1523,914,224,37,11,1,2,1
"광진구",구의2동,11481,4559,2894,2100,1500,335,70,15,4,0,4
"광진구",구의3동,12073,4445,2787,2482,1876,364,90,18,7,2,2
"광진구",광장동,11688,2304,2157,3311,3256,521,95,34,9,0,1
"광진구",자양1동,12109,6822,2627,1438,970,197,38,12,4,1,0
"광진구",자양2동,12190,4921,2973,2284,1575,341,70,18,6,2,0
"광진구",자양3동,10935,3241,2719,2518,1960,360,97,24,12,2,2
"광진구",자양4동,11309,6446,2440,1401,806,165,35,10,4,1,1
"동대문구",소계,176040,87573,38318,26895,18184,3913,868,191,68,15,15
"동대문구",회기동,6605,4691,888,537,385,81,16,3,2,1,1
"동대문구",휘경1동,8952,4920,1797,1193,819,164,45,9,2,2,1
"동대문구",휘경2동,12696,6945,2463,1679,1273,258,56,14,6,1,1
"동대문구",청량리동,9864,5277,2291,1298,750,189,41,13,3,0,2
"동대문구",제기동,13090,7816,2583,1488,904,230,49,9,6,3,2
"동대문구",전농1동,16388,7982,3598,2614,1757,333,79,15,9,0,1
"동대문구",전농2동,7421,2367,2006,1556,1156,258,66,8,2,2,0
"동대문구",답십리2동,12634,4809,3444,2408,1530,337,85,16,4,0,1
"동대문구",장안1동,18602,8800,4261,3018,1932,457,105,19,7,3,0
"동대문구",장안2동,14785,5701,3557,2858,2079,444,106,26,10,0,4
"동대문구",이문1동,11726,6702,2088,1526,1131,211,50,14,3,0,1
"동대문구",이문2동,8211,3141,2017,1564,1147,280,46,13,2,1,0
"동대문구",답십리1동,12911,5375,3068,2490,1566,335,52,15,9,1,0
"동대문구",용두동,12625,7265,2504,1575,1020,204,43,10,2,1,1
"동대문구",신설동,9530,5782,1753,1091,735,132,29,7,1,0,0
"중랑구",소계,188870,86936,47271,30070,19290,4197,840,210,39,11,6
"중랑구",면목2동,12094,5941,3026,1785,1075,208,44,10,4,1,0
"중랑구",면목4동,8851,4097,2245,1389,874,189,43,12,0,1,1
"중랑구",면목5동,6308,2215,1732,1301,866,155,27,9,1,1,1
"중랑구",면목7동,10463,4825,2723,1652,1002,211,41,5,4,0,0
"중랑구",상봉1동,10048,3550,2620,2076,1463,281,43,13,2,0,0
"중랑구",상봉2동,13220,8546,2686,1166,656,123,30,10,1,2,0
"중랑구",중화1동,8755,3648,2439,1514,914,197,32,8,3,0,0
"중랑구",중화2동,14077,7756,3332,1788,945,192,46,14,3,0,1
"중랑구",묵1동,14878,5710,3686,2765,2067,503,109,30,8,0,0
"중랑구",묵2동,9193,4407,2416,1308,823,197,32,10,0,0,0
"중랑구",망우3동,8194,4162,2048,1187,616,142,31,5,2,1,0
"중랑구",신내1동,14703,4041,4004,3192,2578,700,146,36,3,2,1
"중랑구",신내2동,8806,3270,2490,1711,1070,211,44,8,2,0,0
"중랑구",면목본동,17676,9499,4216,2365,1273,263,50,7,1,1,1
"중랑구",면목3.8동,12730,6500,3204,1762,1008,207,38,9,1,1,0
"중랑구",망우본동,18874,8769,4404,3109,2060,418,84,24,4,1,1
"성북구",소계,199326,85368,45880,35243,25829,5482,1139,260,86,17,22
"성북구",돈암1동,5990,1966,1637,1235,910,187,46,6,0,3,0
"성북구",돈암2동,8492,1799,2112,2216,1841,407,82,21,9,1,4
"성북구",안암동,10398,7557,1415,769,511,113,23,5,3,1,1
"성북구",보문동,8099,3913,1896,1267,811,168,33,8,1,1,1
"성북구",정릉1동,7348,2365,1793,1637,1205,268,61,15,2,0,2
"성북구",정릉2동,9668,3393,2590,1982,1321,274,78,24,4,2,0
"성북구",정릉3동,7920,4845,1533,833,543,117,37,6,2,1,3
"성북구",정릉4동,10748,4060,2860,2059,1354,323,65,17,7,2,1
"성북구",길음1동,12816,2604,2789,3385,3327,570,100,22,13,3,3
"성북구",길음2동,8673,2569,2037,2054,1580,353,61,16,3,0,0
"성북구",월곡1동,10617,3527,2744,2195,1688,365,76,17,4,1,0
"성북구",월곡2동,9589,4901,2113,1370,927,228,34,9,7,0,0
"성북구",장위1동,10548,4223,2684,1892,1368,306,57,14,4,0,0
"성북구",장위2동,7808,3464,2107,1273,744,174,41,4,1,0,0
"성북구",장위3동,7628,2307,1808,1805,1402,252,41,10,1,2,0
"성북구",성북동,8050,4096,1814,1141,725,196,53,12,8,0,5
"성북구",삼선동,11432,6080,2355,1518,1143,251,60,18,6,0,1
"성북구",동선동,9768,6882,1506,766,489,97,21,4,2,0,1
"성북구",종암동,17124,7170,3896,3115,2334,486,97,20,6,0,0
"성북구",석관동,16610,7647,4191,2731,1606,347,73,12,3,0,0
"강북구",소계,142545,67661,35389,21866,13706,3034,682,146,38,10,13
"강북구",번1동,9662,5905,1999,1029,587,110,27,4,0,1,0
"강북구",번2동,7413,3396,2091,1138,605,141,32,6,1,0,3
"강북구",번3동,7581,3019,2294,1257,776,191,35,7,2,0,0
"강북구",수유1동,10416,5405,2503,1441,831,176,50,5,2,0,3
"강북구",수유2동,9690,4027,2713,1674,971,231,59,11,1,3,0
"강북구",수유3동,13644,8471,2769,1400,763,190,35,12,3,0,1
"강북구",삼양동,11704,4899,3105,2005,1322,294,59,14,5,1,0
"강북구",미아동,11795,6879,2546,1426,733,153,41,11,4,1,1
"강북구",송중동,13622,6334,3325,2172,1386,308,70,21,2,1,3
"강북구",송천동,11795,5984,2915,1708,947,199,35,4,2,1,0
"강북구",삼각산동,11487,2836,2701,2787,2537,494,99,25,8,0,0
"강북구",우이동,9614,4200,2630,1539,956,220,55,10,3,0,1
"강북구",인수동,14122,6306,3798,2290,1292,327,85,16,5,2,1
"도봉구",소계,139130,53700,37450,25904,17270,3772,779,183,51,12,9
"도봉구",쌍문1동,9677,3902,2568,1806,1049,264,62,20,2,2,2
"도봉구",쌍문2동,8403,3488,2348,1404,914,197,37,11,2,0,2
"도봉구",쌍문3동,8225,3923,2018,1308,777,167,24,7,1,0,0
"도봉구",쌍문4동,7088,1794,1928,1759,1292,255,47,9,4,0,0
"도봉구",방학1동,13118,5691,3191,2196,1555,380,81,19,2,2,1
"도봉구",방학2동,9035,4141,2496,1367,770,216,32,8,4,1,0
"도봉구",방학3동,9902,2239,2853,2421,1860,415,86,19,7,2,0
"도봉구",창1동,10896,4216,2859,2080,1425,249,51,14,2,0,0
"도봉구",창2동,12658,4731,3585,2344,1537,355,80,19,5,1,1
"도봉구",창3동,6376,2782,1770,1036,619,134,26,4,4,1,0
"도봉구",창4동,11314,3947,2807,2325,1809,349,56,12,6,0,3
"도봉구",창5동,10318,3572,2780,2127,1451,292,74,15,5,2,0
"도봉구",도봉1동,10230,4851,2847,1465,803,201,49,10,4,0,0
"도봉구",도봉2동,11890,4423,3400,2266,1409,298,74,16,3,1,0
"노원구",소계,217252,80973,53946,42362,32407,6143,1078,237,68,24,14
"노원구",월계1동,10046,4799,2219,1588,1106,279,37,12,4,2,0
"노원구",월계2동,11656,4547,3183,2105,1435,323,52,10,0,1,0
"노원구",월계3동,12845,4621,3752,2568,1524,289,71,15,3,1,1
"노원구",공릉2동,17903,6789,3879,3528,2994,581,107,17,3,3,2
"노원구",하계1동,12448,5918,2423,1985,1740,308,50,12,8,2,2
"노원구",하계2동,7594,1817,1877,1920,1652,272,44,9,3,0,0
"노원구",중계본동,7864,1654,1531,1912,2189,479,75,17,5,2,0
"노원구",중계1동,8917,1509,1609,2569,2755,405,47,16,5,1,1
"노원구",중계4동,8153,2915,2005,1582,1314,267,47,12,8,3,0
"노원구",상계1동,15558,5114,4260,3174,2340,522,114,25,6,2,1
"노원구",상계2동,8528,3464,1933,1579,1255,231,59,5,2,0,0
"노원구",상계5동,10865,4661,2872,1861,1155,256,47,9,1,1,2
"노원구",상계8동,9065,2499,2772,2198,1378,187,22,6,2,0,1
"노원구",상계9동,8310,2573,2457,1830,1220,182,33,10,3,2,0
"노원구",상계10동,7594,2267,2231,1675,1182,183,37,15,3,1,0
"노원구",상계3.4동,12372,5004,3099,2127,1675,380,71,13,3,0,0
"노원구",상계6.7동,13760,5032,3631,2811,1909,311,46,13,3,1,3
"노원구",중계2.3동,14961,5799,4252,2749,1812,294,41,10,2,1,1
"노원구",공릉1동,18813,9991,3961,2601,1772,394,78,11,4,1,0
"은평구",소계,215129,88795,54960,37891,25736,6082,1249,288,70,31,27
"은평구",녹번동,17417,7736,4520,2890,1819,338,86,21,3,3,1
"은평구",불광1동,17556,7429,4613,3107,1878,420,84,17,6,2,0
"은평구",갈현1동,7195,3439,1789,1102,677,150,30,7,1,0,0
"은평구",갈현2동,12708,5178,3417,2231,1460,329,66,19,2,3,3
"은평구",구산동,13463,5004,3629,2558,1704,434,97,23,6,3,5
"은평구",대조동,15503,8789,3631,1783,1005,225,55,12,3,0,0
"은평구",응암1동,15121,6308,3826,2634,1810,429,83,18,5,4,4
"은평구",응암2동,10946,3109,2762,2656,1922,397,73,16,5,3,3
"은평구",신사1동,11961,4558,3319,2262,1405,324,70,16,5,1,1
"은평구",신사2동,8637,3442,2305,1590,1020,211,50,14,2,2,1
"은평구",증산동,6679,2293,1805,1264,961,293,48,11,4,0,0
"은평구",수색동,8588,2340,2395,1914,1511,348,60,15,4,0,1
"은평구",진관동,21474,6686,4745,4404,4221,1110,237,47,13,5,6
"은평구",불광2동,14076,7170,3480,2022,1057,279,51,15,2,0,0
"은평구",응암3동,12526,6565,3083,1658,934,216,53,12,4,0,1
"은평구",역촌동,21279,8749,5641,3816,2352,579,106,25,5,5,1
"서대문구",소계,146450,66871,32866,24763,17112,3769,808,185,49,16,11
"서대문구",천연동,7609,3058,1896,1447,953,200,43,8,2,0,2
"서대문구",홍제1동,11154,4275,2923,2144,1389,319,77,21,5,0,1
"서대문구",홍제3동,7929,3016,2077,1572,995,215,41,9,4,0,0
"서대문구",홍제2동,5263,1806,1398,1107,749,164,32,5,1,0,1
"서대문구",홍은1동,10226,3647,2719,2079,1357,320,78,23,2,1,0
"서대문구",홍은2동,12847,5298,3136,2290,1647,369,84,18,2,3,0
"서대문구",남가좌1동,6126,1369,1368,1613,1411,287,59,16,2,1,0
"서대문구",남가좌2동,13292,5591,2910,2482,1879,345,66,15,2,2,0
"서대문구",북가좌1동,6738,1695,1689,1658,1311,295,74,10,4,2,0
"서대문구",북가좌2동,14474,6217,3743,2475,1580,366,70,17,3,2,1
"서대문구",충현동,9956,5108,2075,1455,1017,241,46,10,2,1,1
"서대문구",북아현동,7043,2821,1664,1444,919,158,27,7,2,1,0
"서대문구",신촌동,15155,12262,1538,732,457,113,36,7,6,1,3
"서대문구",연희동,18638,10708,3730,2265,1448,377,75,19,12,2,2
"마포구",소계,180703,87979,39274,28285,20088,3958,804,227,55,24,9
"마포구",용강동,9262,3440,2028,1969,1501,251,53,16,3,1,0
"마포구",대흥동,8627,5614,1421,811,628,126,20,5,1,0,1
"마포구",염리동,7712,3257,1588,1440,1192,189,29,14,3,0,0
"마포구",신수동,10033,4024,2301,1950,1419,266,54,13,3,3,0
"마포구",서교동,15138,10275,2573,1256,804,164,45,15,3,3,0
"마포구",합정동,9045,5123,2077,1065,595,143,34,6,1,1,0
"마포구",망원1동,10048,5304,2416,1263,831,183,38,10,2,1,0
"마포구",망원2동,8214,3400,2182,1310,1071,197,40,10,3,0,1
"마포구",연남동,8241,5060,1645,865,510,129,19,5,3,4,1
"마포구",성산1동,9623,4899,2234,1328,866,230,40,16,8,2,0
"마포구",성산2동,19703,9895,4252,3023,1999,431,81,18,3,0,1
"마포구",상암동,12749,4866,2767,2445,2068,493,81,18,8,2,1
"마포구",도화동,9312,3763,2134,1780,1285,266,64,14,3,2,1
"마포구",서강동,12190,6019,2428,2005,1404,241,64,20,7,1,1
"마포구",공덕동,18473,9183,4055,2864,1916,350,73,28,1,2,1
"마포구",아현동,12333,3857,3173,2911,1999,299,69,19,3,2,1
"양천구",소계,179924,59776,42758,38124,31611,6123,1137,255,97,26,17
"양천구",목1동,10307,1682,1934,3131,2961,484,84,23,6,1,1
"양천구",목2동,13268,5653,3222,2275,1679,337,67,26,6,1,2
"양천구",목3동,10144,4440,2564,1743,1110,224,44,11,5,2,1
"양천구",목4동,9937,3401,2128,2089,1855,362,81,15,5,1,0
"양천구",신월1동,9833,4869,2462,1453,833,171,37,5,1,1,1
"양천구",신월2동,8681,2850,2260,1773,1373,331,63,24,4,2,1
"양천구",신월3동,7532,4091,1761,898,567,176,32,2,2,0,3
"양천구",신월4동,6797,1772,1903,1622,1162,268,59,8,2,1,0
"양천구",신월5동,6334,2541,1618,1130,795,195,42,8,4,1,0
"양천구",신월6동,5326,1261,1391,1365,1052,229,23,4,1,0,0
"양천구",신월7동,9048,3874,2670,1490,790,178,35,8,3,0,0
"양천구",신정1동,6943,1373,1369,1883,1912,323,63,13,5,1,1
"양천구",신정2동,6792,1614,1385,1606,1812,313,42,9,7,2,2
"양천구",신정3동,19359,5530,5090,4248,3493,827,127,29,10,3,2
"양천구",신정6동,8161,1121,1795,2457,2330,354,75,14,12,2,1
"양천구",신정7동,11472,3503,2803,2539,2187,356,61,14,8,1,0
"양천구",목5동,13498,1772,2552,4101,4245,654,135,24,9,4,2
"양천구",신정4동,16492,8429,3851,2321,1455,341,67,18,7,3,0
"강서구",소계,273397,127586,63911,43114,30551,6449,1320,337,91,27,11
"강서구",염창동,16797,5164,3738,3907,3350,527,90,17,3,1,0
"강서구",등촌1동,14324,8410,2867,1711,1090,202,29,11,3,0,1
"강서구",등촌2동,8608,3308,2158,1656,1142,257,64,17,5,0,1
"강서구",등촌3동,15071,7447,3796,2086,1407,257,52,18,5,3,0
"강서구",화곡본동,17171,9058,3967,2299,1419,336,64,18,5,4,1
"강서구",화곡2동,8187,3574,2171,1343,842,222,23,9,2,0,1
"강서구",화곡3동,9707,4078,2424,1627,1175,305,73,21,1,3,0
"강서구",화곡4동,9593,4295,2600,1579,869,186,48,10,4,2,0
"강서구",화곡6동,13467,7044,2925,1872,1295,258,55,9,6,1,2
"강서구",화곡8동,11517,5261,3190,1756,997,237,53,21,2,0,0
"강서구",가양1동,21034,14391,2984,1977,1319,282,56,18,3,3,1
"강서구",가양2동,7905,4778,1879,751,377,75,32,9,2,2,0
"강서구",가양3동,7554,3789,2246,1007,421,71,15,5,0,0,0
"강서구",발산1동,13588,3441,3484,3087,2845,595,104,27,4,1,0
"강서구",공항동,13719,6129,3070,2291,1709,414,84,20,2,0,0
"강서구",방화1동,16267,4925,4141,3488,2872,683,130,19,7,1,1
"강서구",방화2동,12431,6614,2955,1565,979,243,55,14,4,1,1
"강서구",방화3동,11104,5337,2857,1657,966,207,66,5,7,1,1
"강서구",화곡1동,28035,15643,6482,3489,1843,423,104,38,11,1,1
"강서구",우장산동,17318,4900,3977,3966,3634,669,123,31,15,3,0
"구로구",소계,184587,79181,45984,31727,21649,4676,1020,257,64,16,13
"구로구",신도림동,14406,4045,3545,3393,2816,463,115,21,7,1,0
"구로구",구로1동,8406,2548,2170,1858,1493,272,48,11,5,1,0
"구로구",구로3동,13626,8560,2495,1418,894,207,34,13,2,2,1
"구로구",구로4동,10081,5471,2505,1296,638,127,34,9,1,0,0
"구로구",구로5동,15632,8554,3297,2123,1291,267,71,21,5,3,0
"구로구",고척1동,11671,4018,3223,2391,1657,306,59,11,2,2,2
"구로구",고척2동,11322,4227,2993,2119,1566,326,71,16,2,1,1
