자치구,연도,범죄유형,구분,건수
종로구,2014,소계,발생,5021
종로구,2014,소계,검거,4610
종로구,2014,살인,발생,3
종로구,2014,살인,검거,7
종로구,2014,강도,발생,12
종로구,2014,강도,검거,15
종로구,2014,강간·강제추행,발생,226
종로구,2014,강간·강제추행,검거,948
종로구,2014,절도,발생,2272
종로구,2014,절도,검거,1281
종로구,2014,폭력,발생,2508
종로구,2014,폭력,검거,2359
종로구,2015,소계,발생,4705
종로구,2015,소계,검거,4430
종로구,2015,살인,발생,6
종로구,2015,살인,검거,8
종로구,2015,강도,발생,11
종로구,2015,강도,검거,13
종로구,2015,강간·강제추행,발생,211
종로구,2015,강간·강제추행,검거,1139
종로구,2015,절도,발생,2184
종로구,2015,절도,검거,1145
종로구,2015,폭력,발생,2293
종로구,2015,폭력,검거,2125
종로구,2016,소계,발생,4459
종로구,2016,소계,검거,4298
종로구,2016,살인,발생,6
종로구,2016,살인,검거,5
종로구,2016,강도,발생,12
종로구,2016,강도,검거,14
종로구,2016,강간·강제추행,발생,238
종로구,2016,강간·강제추행,검거,1106
종로구,2016,절도,발생,1940
종로구,2016,절도,검거,1020
종로구,2016,폭력,발생,2263
종로구,2016,폭력,검거,2153
종로구,2017,소계,발생,4057
종로구,2017,소계,검거,4437
종로구,2017,살인,발생,7
종로구,2017,살인,검거,9
종로구,2017,강도,발생,10
종로구,2017,강도,검거,15
종로구,2017,강간·강제추행,발생,253
종로구,2017,강간·강제추행,검거,1412
종로구,2017,절도,발생,1644
종로구,2017,절도,검거,905
종로구,2017,폭력,발생,2143
종로구,2017,폭력,검거,2096
종로구,2018,소계,발생,3690
종로구,2018,소계,검거,3913
종로구,2018,살인,발생,6
종로구,2018,살인,검거,7
종로구,2018,강도,발생,3
종로구,2018,강도,검거,7
종로구,2018,강간·강제추행,발생,236
종로구,2018,강간·강제추행,검거,1100
종로구,2018,절도,발생,1483
종로구,2018,절도,검거,969
종로구,2018,폭력,발생,1962
종로구,2018,폭력,검거,1830
종로구,2019,소계,발생,3846
종로구,2019,소계,검거,4117
종로구,2019,살인,발생,4
종로구,2019,살인,검거,5
종로구,2019,강도,발생,7
종로구,2019,강도,검거,8
종로구,2019,강간·강제추행,발생,238
